No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q1.html"",""平成28年秋期 問1"")",2022/3/22
2,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q2.html"",""平成28年秋期 問2"")",2022/3/22
3,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q3.html"",""平成28年秋期 問3"")",2022/3/22
4,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q4.html"",""平成28年秋期 問4"")",2022/3/22
5,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q5.html"",""平成28年秋期 問5"")",2022/3/22
6,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q6.html"",""平成28年秋期 問6"")",2022/3/22
7,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q7.html"",""平成28年秋期 問7"")",2022/3/22
8,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q8.html"",""平成28年秋期 問8"")",2022/3/22
9,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q9.html"",""平成28年秋期 問9"")",2022/3/22
10,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q10.html"",""平成28年秋期 問10"")",2022/3/22
11,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q11.html"",""平成28年秋期 問11"")",2022/3/22
12,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q12.html"",""平成28年秋期 問12"")",2022/3/22
13,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q13.html"",""平成28年秋期 問13"")",2022/3/22
14,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q14.html"",""平成28年秋期 問14"")",2022/3/22
15,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q15.html"",""平成28年秋期 問15"")",2022/3/22
16,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q16.html"",""平成28年秋期 問16"")",2022/3/22
17,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q17.html"",""平成28年秋期 問17"")",2022/3/22
18,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q18.html"",""平成28年秋期 問18"")",2022/3/22
19,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q19.html"",""平成28年秋期 問19"")",2022/3/22
20,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q20.html"",""平成28年秋期 問20"")",2022/3/22
21,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q21.html"",""平成28年秋期 問21"")",2022/3/22
22,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q22.html"",""平成28年秋期 問22"")",2022/3/22
23,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q23.html"",""平成28年秋期 問23"")",2022/3/22
24,○,テクノロジ系,技術要素,ヒューマンインタフェース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q24.html"",""平成28年秋期 問24"")",2022/3/22
25,○,テクノロジ系,技術要素,マルチメディア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q25.html"",""平成28年秋期 問25"")",2022/3/22
26,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q26.html"",""平成28年秋期 問26"")",2022/3/22
27,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/28_aki/q27.html"",""平成28年秋期 問27"")",2022/3/22
